address,bank,body,from_or_to,amount
VK-SBIINB-I,State Bank of India,SBI Alert: Rs.250.03 sent via UPI from State Bank of India A/c xxxx4621 to Myntra (myntra@upi) on 19-Jun-2025. Ref 509879110777.,Myntra,250.03
BP-YESBNK-I,YES Bank,YES Alert: Rs.238.72 received via UPI to YES Bank A/c xxxx8219 from Ravi Teja (raviteja@ybl) on 03-Jul-2025. Ref 345952700044.,Ravi Teja,238.72
VK-ICICIB,ICICI Bank,"ICICI Alert: Rs.3,6,365.41 received via UPI to ICICI Bank A/c XX1153 from Zomato (zomato@okhdfcbank) on 19/07/2025. Ref 482759184337.",Zomato,36365.41
AD-KOTAKB-S,Kotak Mahindra Bank,KOTAK Alert: INR484.60 received via UPI to Kotak Mahindra Bank A/c **3477 from Sunita J (sunitaj@kotak) on 23-07-25. Ref 972388934499.,Sunita J,484.6
VK-PNBUPI-I,Punjab National Bank,"PNB Alert: ₹1,1,548.88 received via UPI to Punjab National Bank A/c **1480 from VI Prepaid (viprepaid@okhdfcbank) on 06-07-25. Ref 658122060138.",VI Prepaid,11548.88
VK-BOBUPI-I,Bank of Baroda,BOB Alert: ₹396.20 received via UPI to Bank of Baroda A/c xxxx7427 from Meena S (meenas@ybl) on 17-Jul-2025. Ref 011423472567.,Meena S,396.2
AD-SBIUPI-S,State Bank of India,SBI Alert: ₹463.87 sent via UPI from State Bank of India A/c **5080 to Croma (croma@upi) on 11/07/2025. Ref 015984327536.,Croma,463.87
VK-PNBUPI-I,Punjab National Bank,"PNB Alert: Rs.4,7,892.50 received via UPI to Punjab National Bank A/c XX5142 from Divya R (divyar@okhdfcbank) on 07-06-25. Ref 175898772379.",Divya R,47892.5
VM-ICICIB-I,ICICI Bank,"ICICI Alert: Rs.1,667.22 sent via UPI from ICICI Bank A/c **9507 to PhonePe (phonepe@axl) on 20-Jun-2025. Ref 132808710288.",PhonePe,1667.22
AD-INDUSB,IndusInd Bank,INDUSIND Alert: Rs.57.98 received via UPI to IndusInd Bank A/c XX4893 from Rajesh Kumar (rajeshkuma@okhdfcbank) on 20/06/2025. Ref 599476292689.,Rajesh Kumar,57.98
BZ-HDFCBK-I,HDFC Bank,"HDFC Alert: ₹1,3,779.48 received via UPI to HDFC Bank A/c **6915 from JioMart (jiomart@kotak) on 23-Jun-2025. Ref 164906722473.",JioMart,13779.48
AD-HDFCBK-I,HDFC Bank,"HDFC Alert: Rs.4,079.77 sent via UPI from HDFC Bank A/c XX4835 to Sanjay Singh (sanjaysing@okaxis) on 15/08/2025. Ref 594465125989.",Sanjay Singh,4079.77
VK-SBIINB-S,State Bank of India,"SBI Alert: INR2,026.20 sent via UPI from State Bank of India A/c XX8528 to JioMart (jiomart@axl) on 17-07-25. Ref 673485918908.",JioMart,2026.2
VM-IDFCUPI-S,IDFC FIRST Bank,IDFC Alert: ₹407.88 sent via UPI from IDFC FIRST Bank A/c XX9842 to Deepak Nair (deepaknair@ibl) on 17-Jul-2025. Ref 831591335161.,Deepak Nair,407.88
VM-HDFCBK,HDFC Bank,HDFC Alert: ₹302.97 received via UPI to HDFC Bank A/c xxxx3360 from JioMart (jiomart@ibl) on 03-08-25. Ref 850798518477.,JioMart,302.97
AD-SBIUPI,State Bank of India,"SBI Alert: Rs.1,9,800.08 received via UPI to State Bank of India A/c XX1657 from Suresh R (sureshr@okhdfcbank) on 12/08/2025. Ref 964578625140.",Suresh R,19800.08
VK-AXISUPI,Axis Bank,"AXIS Alert: Rs.4,1,510.38 received via UPI to Axis Bank A/c **6090 from VI Prepaid (viprepaid@upi) on 08/06/2025. Ref 871220264388.",VI Prepaid,41510.38
AD-INDUSB-I,IndusInd Bank,"INDUSIND Alert: INR4,809.91 sent via UPI from IndusInd Bank A/c **2959 to Divya R (divyar@idfcbank) on 20-Jul-2025. Ref 657532058569.",Divya R,4809.91
VK-BOBUPI-S,Bank of Baroda,BOB Alert: ₹150.55 received via UPI to Bank of Baroda A/c xxxx7660 from DMart (dmart@kotak) on 31-07-25. Ref 331929104809.,DMart,150.55
MD-PNBSMS,Punjab National Bank,PNB Alert: ₹368.81 received via UPI to Punjab National Bank A/c XX4894 from Neha Malhotra (nehamalhot@upi) on 04-08-25. Ref 282658756197.,Neha Malhotra,368.81
VK-AXISUPI,Axis Bank,AXIS Alert: Rs.74.87 received via UPI to Axis Bank A/c **4586 from Zomato (zomato@ybl) on 01/07/2025. Ref 013902374008.,Zomato,74.87
VK-INDUSUPI-S,IndusInd Bank,"INDUSIND Alert: INR4,3,444.25 received via UPI to IndusInd Bank A/c xxxx6355 from Amit Sharma (amitsharma@sbi) on 27-Jun-2025. Ref 400182437525.",Amit Sharma,43444.25
VK-INDUSUPI-S,IndusInd Bank,"INDUSIND Alert: INR1,539.25 received via UPI to IndusInd Bank A/c xxxx8580 from PhonePe (phonepe@kotak) on 04-07-25. Ref 128981213094.",PhonePe,1539.25
VK-YESUPI,YES Bank,YES Alert: INR459.68 received via UPI to YES Bank A/c xxxx3447 from Neha Malhotra (nehamalhot@upi) on 17-06-25. Ref 517932548479.,Neha Malhotra,459.68
VK-PNBUPI-I,Punjab National Bank,PNB Alert: ₹954.22 received via UPI to Punjab National Bank A/c **7829 from HP Fuel (hpfuel@okhdfcbank) on 10-08-25. Ref 591760877789.,HP Fuel,954.22
BZ-HDFCBK-I,HDFC Bank,"HDFC Alert: ₹1,5,002.43 received via UPI to HDFC Bank A/c XX9515 from Lavanya K (lavanyak@kotak) on 12-08-25. Ref 921304480952.",Lavanya K,15002.43
BZ-HDFCBK-I,HDFC Bank,HDFC Alert: Rs.151.90 sent via UPI from HDFC Bank A/c XX8237 to Google Play Store (googleplay@ibl) on 12-Jun-2025. Ref 818311819745.,Google Play Store,151.9
VM-IDFCUPI-I,IDFC FIRST Bank,"IDFC Alert: ₹3,1,996.81 received via UPI to IDFC FIRST Bank A/c **6531 from Nisha S (nishas@upi) on 28/08/2025. Ref 954678517301.",Nisha S,31996.81
VM-INDUSB-I,IndusInd Bank,"INDUSIND Alert: Rs.3,497.62 received via UPI to IndusInd Bank A/c **4470 from Google Play Store (googleplay@okhdfcbank) on 09/07/2025. Ref 116684095444.",Google Play Store,3497.62
AD-SBIUPI-I,State Bank of India,SBI Alert: Rs.425.96 received via UPI to State Bank of India A/c XX3768 from Neha Malhotra (nehamalhot@idfcbank) on 07/06/2025. Ref 894319981290.,Neha Malhotra,425.96
VK-AXISUPI-S,Axis Bank,AXIS Alert: INR297.66 sent via UPI from Axis Bank A/c **9049 to VI Prepaid (viprepaid@okhdfcbank) on 08-Jun-2025. Ref 868047499399.,VI Prepaid,297.66
AD-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: Rs.4,859.93 sent via UPI from Kotak Mahindra Bank A/c xxxx3371 to Arun K (arunk@idfcbank) on 16/08/2025. Ref 637472940247.",Arun K,4859.93
AD-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: INR2,597.30 received via UPI to Kotak Mahindra Bank A/c XX7850 from Ola (ola@okhdfcbank) on 07-08-25. Ref 297426581826.",Ola,2597.3
AD-PNBSMS-S,Punjab National Bank,"PNB Alert: INR2,3,935.35 received via UPI to Punjab National Bank A/c XX8898 from Deepak Nair (deepaknair@idfcbank) on 28-08-25. Ref 433756269366.",Deepak Nair,23935.35
VK-ICICIB-I,ICICI Bank,"ICICI Alert: Rs.4,705.38 sent via UPI from ICICI Bank A/c **5653 to Paytm (paytm@sbi) on 26-Jul-2025. Ref 770477797783.",Paytm,4705.38
VK-AXISUPI,Axis Bank,AXIS Alert: INR57.25 received via UPI to Axis Bank A/c xxxx5700 from Pooja Patel (poojapatel@kotak) on 01/08/2025. Ref 636617325689.,Pooja Patel,57.25
AD-SBIUPI-S,State Bank of India,SBI Alert: Rs.161.58 received via UPI to State Bank of India A/c xxxx9557 from BPCL (bpcl@ibl) on 14-06-25. Ref 296618113550.,BPCL,161.58
AD-HDFCBK-I,HDFC Bank,HDFC Alert: ₹286.61 sent via UPI from HDFC Bank A/c xxxx8234 to Deepak Nair (deepaknair@oksbi) on 12-Jun-2025. Ref 910976226976.,Deepak Nair,286.61
AD-SBIUPI,State Bank of India,"SBI Alert: Rs.8,804.71 sent via UPI from State Bank of India A/c **2999 to Swiggy (swiggy@oksbi) on 05/07/2025. Ref 453558091246.",Swiggy,8804.71
BP-YESBNK-S,YES Bank,"YES Alert: Rs.2,638.55 sent via UPI from YES Bank A/c XX8215 to Vikas T (vikast@axl) on 21/08/2025. Ref 788267384226.",Vikas T,2638.55
VM-INDUSB-S,IndusInd Bank,"INDUSIND Alert: ₹2,113.13 received via UPI to IndusInd Bank A/c xxxx6088 from Amazon (amazon@okaxis) on 16/07/2025. Ref 727226512154.",Amazon,2113.13
BZ-HDFCBK,HDFC Bank,"HDFC Alert: ₹1,725.80 sent via UPI from HDFC Bank A/c xxxx1871 to Sanjay Singh (sanjaysing@axl) on 18-Aug-2025. Ref 388535787205.",Sanjay Singh,1725.8
JD-IDFCFB,IDFC FIRST Bank,IDFC Alert: Rs.386.45 received via UPI to IDFC FIRST Bank A/c xxxx8868 from Swiggy (swiggy@okhdfcbank) on 26-Aug-2025. Ref 526357217578.,Swiggy,386.45
VK-BOBUPI,Bank of Baroda,"BOB Alert: ₹3,443.28 sent via UPI from Bank of Baroda A/c xxxx2334 to Sanjay Singh (sanjaysing@okaxis) on 16/07/2025. Ref 280871279429.",Sanjay Singh,3443.28
VM-HDFCBK-I,HDFC Bank,HDFC Alert: Rs.277.31 sent via UPI from HDFC Bank A/c **4120 to Swiggy (swiggy@upi) on 07-06-25. Ref 662201647188.,Swiggy,277.31
MD-PNBSMS-S,Punjab National Bank,PNB Alert: ₹289.80 sent via UPI from Punjab National Bank A/c **9406 to Anil Gupta (anilgupta@axl) on 23-Jul-2025. Ref 271991929727.,Anil Gupta,289.8
AD-HDFCBK,HDFC Bank,"HDFC Alert: INR4,2,279.98 sent via UPI from HDFC Bank A/c xxxx7784 to Croma (croma@kotak) on 06-Jul-2025. Ref 938461420228.",Croma,42279.98
VK-ICICIB-I,ICICI Bank,ICICI Alert: Rs.316.36 sent via UPI from ICICI Bank A/c **6570 to Meena S (meenas@upi) on 09-08-25. Ref 199660232447.,Meena S,316.36
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: Rs.6,775.50 received via UPI to Punjab National Bank A/c XX7903 from Tata Sky (tatasky@kotak) on 12/08/2025. Ref 196523297108.",Tata Sky,6775.5
VM-INDUSB-S,IndusInd Bank,INDUSIND Alert: INR450.44 sent via UPI from IndusInd Bank A/c **3757 to Karthik M (karthikm@oksbi) on 27-Aug-2025. Ref 314502018803.,Karthik M,450.44
AD-HDFCBK,HDFC Bank,HDFC Alert: Rs.266.35 sent via UPI from HDFC Bank A/c XX4280 to Amazon (amazon@ybl) on 06/07/2025. Ref 625984109581.,Amazon,266.35
BP-KOTAKUPI-S,Kotak Mahindra Bank,KOTAK Alert: INR462.45 received via UPI to Kotak Mahindra Bank A/c xxxx6462 from Suresh R (sureshr@ibl) on 17-08-25. Ref 562852608848.,Suresh R,462.45
TM-SBIINB-S,State Bank of India,"SBI Alert: ₹1,153.59 sent via UPI from State Bank of India A/c xxxx8457 to Zomato (zomato@oksbi) on 01/07/2025. Ref 916568254532.",Zomato,1153.59
AD-BOBMSG-I,Bank of Baroda,BOB Alert: ₹207.96 received via UPI to Bank of Baroda A/c XX9864 from Priya Verma (priyaverma@axl) on 26-08-25. Ref 897032379197.,Priya Verma,207.96
TM-SBIINB-I,State Bank of India,"SBI Alert: INR4,676.43 sent via UPI from State Bank of India A/c XX6327 to Swiggy (swiggy@sbi) on 10-06-25. Ref 443526975398.",Swiggy,4676.43
AD-AXISBK-S,Axis Bank,"AXIS Alert: INR1,772.21 received via UPI to Axis Bank A/c XX7016 from Manoj P (manojp@sbi) on 29/07/2025. Ref 511098064901.",Manoj P,1772.21
VK-INDUSUPI-I,IndusInd Bank,"INDUSIND Alert: ₹3,183.81 sent via UPI from IndusInd Bank A/c xxxx8156 to HP Fuel (hpfuel@oksbi) on 02-07-25. Ref 821137700779.",HP Fuel,3183.81
AD-HDFCBK,HDFC Bank,"HDFC Alert: ₹2,4,864.26 received via UPI to HDFC Bank A/c xxxx9812 from Suresh R (sureshr@idfcbank) on 21/06/2025. Ref 177211636499.",Suresh R,24864.26
VK-PNBUPI-I,Punjab National Bank,"PNB Alert: ₹3,6,079.86 received via UPI to Punjab National Bank A/c **1436 from HP Fuel (hpfuel@oksbi) on 07-Jun-2025. Ref 768163331637.",HP Fuel,36079.86
BP-KOTAKUPI,Kotak Mahindra Bank,"KOTAK Alert: ₹3,8,296.29 received via UPI to Kotak Mahindra Bank A/c XX3122 from Kiran Rao (kiranrao@idfcbank) on 24-Jul-2025. Ref 649849683918.",Kiran Rao,38296.29
BP-YESBNK-S,YES Bank,"YES Alert: INR2,3,138.16 sent via UPI from YES Bank A/c xxxx8205 to PhonePe (phonepe@kotak) on 18-07-25. Ref 815952536365.",PhonePe,23138.16
VM-HDFCBK-I,HDFC Bank,"HDFC Alert: ₹2,7,056.85 received via UPI to HDFC Bank A/c XX7901 from Anil Gupta (anilgupta@axl) on 05-06-25. Ref 017697380066.",Anil Gupta,27056.85
AD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: INR8,112.65 sent via UPI from IDFC FIRST Bank A/c xxxx8558 to Croma (croma@ybl) on 22-07-25. Ref 717581362696.",Croma,8112.65
VM-ICICIB,ICICI Bank,"ICICI Alert: INR2,499.67 sent via UPI from ICICI Bank A/c xxxx5198 to Suresh R (sureshr@idfcbank) on 07-Aug-2025. Ref 310504204725.",Suresh R,2499.67
VK-PNBUPI-I,Punjab National Bank,PNB Alert: ₹297.10 received via UPI to Punjab National Bank A/c xxxx2689 from Swiggy (swiggy@axl) on 13-07-25. Ref 050311259965.,Swiggy,297.1
VK-SBIINB-I,State Bank of India,SBI Alert: ₹335.07 received via UPI to State Bank of India A/c xxxx6595 from Suresh R (sureshr@sbi) on 04-08-25. Ref 245585837526.,Suresh R,335.07
AD-HDFCBK-S,HDFC Bank,"HDFC Alert: ₹4,087.09 received via UPI to HDFC Bank A/c XX4558 from HP Fuel (hpfuel@okhdfcbank) on 15-06-25. Ref 533476165071.",HP Fuel,4087.09
VM-ICICIB-S,ICICI Bank,ICICI Alert: INR311.71 received via UPI to ICICI Bank A/c XX7840 from Meena S (meenas@axl) on 19/08/2025. Ref 545703015690.,Meena S,311.71
VK-PNBUPI-S,Punjab National Bank,PNB Alert: Rs.70.00 received via UPI to Punjab National Bank A/c xxxx7771 from DMart (dmart@upi) on 24-07-25. Ref 065597096056.,DMart,70
VK-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: Rs.3,779.65 received via UPI to Kotak Mahindra Bank A/c XX8861 from Arun K (arunk@idfcbank) on 28-06-25. Ref 643023849849.",Arun K,3779.65
VK-INDUSUPI-I,IndusInd Bank,INDUSIND Alert: Rs.146.86 received via UPI to IndusInd Bank A/c xxxx9390 from Ola (ola@sbi) on 13-Jul-2025. Ref 273791430024.,Ola,146.86
VK-SBIINB-I,State Bank of India,"SBI Alert: ₹4,457.18 sent via UPI from State Bank of India A/c xxxx3064 to Deepak Nair (deepaknair@sbi) on 16/06/2025. Ref 604367652298.",Deepak Nair,4457.18
VK-SBIINB,State Bank of India,"SBI Alert: ₹1,4,157.43 sent via UPI from State Bank of India A/c **7777 to Airtel Prepaid (airtelprep@sbi) on 04/06/2025. Ref 126239305924.",Airtel Prepaid,14157.43
VK-YESUPI-S,YES Bank,"YES Alert: INR3,2,685.95 received via UPI to YES Bank A/c xxxx2977 from Kiran Rao (kiranrao@okaxis) on 26-Jul-2025. Ref 525784027959.",Kiran Rao,32685.95
AD-IDFCFB,IDFC FIRST Bank,IDFC Alert: ₹381.84 sent via UPI from IDFC FIRST Bank A/c XX8020 to Big Bazaar (bigbazaar@upi) on 21-08-25. Ref 915779482248.,Big Bazaar,381.84
VK-YESUPI-S,YES Bank,YES Alert: INR304.57 sent via UPI from YES Bank A/c **9215 to Suresh R (sureshr@sbi) on 14/06/2025. Ref 794486433711.,Suresh R,304.57
VK-ICICIB-I,ICICI Bank,"ICICI Alert: ₹4,4,001.22 received via UPI to ICICI Bank A/c XX5441 from VI Prepaid (viprepaid@upi) on 26-08-25. Ref 810729704898.",VI Prepaid,44001.22
VK-AXISUPI,Axis Bank,"AXIS Alert: INR4,004.86 received via UPI to Axis Bank A/c XX8465 from Nisha S (nishas@idfcbank) on 07/07/2025. Ref 892624102401.",Nisha S,4004.86
VM-IDFCUPI-S,IDFC FIRST Bank,"IDFC Alert: Rs.3,387.05 sent via UPI from IDFC FIRST Bank A/c XX9004 to Amazon (amazon@okaxis) on 17-08-25. Ref 100698364976.",Amazon,3387.05
VM-ICICIB-S,ICICI Bank,"ICICI Alert: INR4,6,527.88 sent via UPI from ICICI Bank A/c XX8673 to Amit Sharma (amitsharma@upi) on 11-Jun-2025. Ref 760765755449.",Amit Sharma,46527.88
VM-IDFCUPI,IDFC FIRST Bank,IDFC Alert: INR286.26 received via UPI to IDFC FIRST Bank A/c XX5708 from Uber (uber@ybl) on 18/08/2025. Ref 368881272725.,Uber,286.26
VM-INDUSB,IndusInd Bank,"INDUSIND Alert: ₹4,5,125.86 sent via UPI from IndusInd Bank A/c **7000 to Vikas T (vikast@okhdfcbank) on 22-07-25. Ref 350426015653.",Vikas T,45125.86
AD-HDFCBK,HDFC Bank,"HDFC Alert: INR1,1,233.90 sent via UPI from HDFC Bank A/c **8380 to Swiggy (swiggy@oksbi) on 15-Jul-2025. Ref 170722423182.",Swiggy,11233.9
VK-BOBUPI-I,Bank of Baroda,BOB Alert: ₹185.79 received via UPI to Bank of Baroda A/c xxxx2198 from Ravi Teja (raviteja@oksbi) on 07-08-25. Ref 570327942925.,Ravi Teja,185.79
MD-PNBSMS,Punjab National Bank,PNB Alert: Rs.99.99 received via UPI to Punjab National Bank A/c XX6501 from DMart (dmart@okhdfcbank) on 08-06-25. Ref 628144622922.,DMart,99.99
AD-BOBMSG,Bank of Baroda,"BOB Alert: ₹1,587.35 sent via UPI from Bank of Baroda A/c **9397 to Manoj P (manojp@oksbi) on 04/06/2025. Ref 107782415088.",Manoj P,1587.35
AD-HDFCBK-I,HDFC Bank,HDFC Alert: INR62.31 received via UPI to HDFC Bank A/c xxxx7010 from PhonePe (phonepe@okhdfcbank) on 19-Jul-2025. Ref 357188953216.,PhonePe,62.31
AD-INDUSB-S,IndusInd Bank,"INDUSIND Alert: Rs.2,095.10 received via UPI to IndusInd Bank A/c xxxx5059 from Priya Verma (priyaverma@ibl) on 29-06-25. Ref 815202220438.",Priya Verma,2095.1
AD-AXISBK-S,Axis Bank,"AXIS Alert: INR1,5,312.84 received via UPI to Axis Bank A/c XX8082 from Myntra (myntra@axl) on 08-Aug-2025. Ref 481486060059.",Myntra,15312.84
VM-IDFCUPI,IDFC FIRST Bank,"IDFC Alert: ₹2,4,207.75 received via UPI to IDFC FIRST Bank A/c **9989 from Kiran Rao (kiranrao@axl) on 23-Aug-2025. Ref 338195067507.",Kiran Rao,24207.75
AD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: ₹2,281.60 sent via UPI from IDFC FIRST Bank A/c xxxx1464 to HP Fuel (hpfuel@upi) on 01-Jun-2025. Ref 885388590476.",HP Fuel,2281.6
VK-ICICIB,ICICI Bank,"ICICI Alert: INR4,9,881.62 sent via UPI from ICICI Bank A/c XX3673 to Karthik M (karthikm@upi) on 17-Jun-2025. Ref 699789738921.",Karthik M,49881.62
AD-SBIUPI,State Bank of India,"SBI Alert: ₹3,763.19 sent via UPI from State Bank of India A/c xxxx6424 to Flipkart (flipkart@idfcbank) on 27-Jul-2025. Ref 874122178558.",Flipkart,3763.19
AD-INDUSB,IndusInd Bank,INDUSIND Alert: INR612.74 received via UPI to IndusInd Bank A/c XX1905 from Amit Sharma (amitsharma@axl) on 01-06-25. Ref 363155379401.,Amit Sharma,612.74
VK-BOBUPI,Bank of Baroda,BOB Alert: Rs.58.51 received via UPI to Bank of Baroda A/c **5755 from DMart (dmart@oksbi) on 25-07-25. Ref 957587605231.,DMart,58.51
AD-BOBMSG-S,Bank of Baroda,BOB Alert: Rs.284.17 received via UPI to Bank of Baroda A/c XX1880 from Meena S (meenas@idfcbank) on 15-Aug-2025. Ref 160497380872.,Meena S,284.17
VM-ICICIB-I,ICICI Bank,"ICICI Alert: ₹1,774.66 sent via UPI from ICICI Bank A/c xxxx2411 to DMart (dmart@idfcbank) on 28/06/2025. Ref 599802944302.",DMart,1774.66
AD-HDFCBK-I,HDFC Bank,HDFC Alert: ₹420.15 received via UPI to HDFC Bank A/c xxxx1024 from Nisha S (nishas@kotak) on 10/07/2025. Ref 404637188251.,Nisha S,420.15
AD-AXISBK-S,Axis Bank,AXIS Alert: Rs.210.17 sent via UPI from Axis Bank A/c **1679 to Airtel Prepaid (airtelprep@idfcbank) on 12/08/2025. Ref 377954249070.,Airtel Prepaid,210.17
AD-YESBNK-I,YES Bank,YES Alert: INR420.15 received via UPI to YES Bank A/c **6397 from Sunita J (sunitaj@axl) on 30-Jul-2025. Ref 266510124152.,Sunita J,420.15
AD-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: INR2,901.22 received via UPI to Kotak Mahindra Bank A/c XX4272 from Zomato (zomato@ibl) on 14/07/2025. Ref 015499909114.",Zomato,2901.22
VK-INDUSUPI-S,IndusInd Bank,INDUSIND Alert: ₹437.12 sent via UPI from IndusInd Bank A/c xxxx4846 to Priya Verma (priyaverma@upi) on 13/07/2025. Ref 786482107794.,Priya Verma,437.12
VM-HDFCBK-I,HDFC Bank,HDFC Alert: ₹396.81 received via UPI to HDFC Bank A/c XX5102 from Swiggy (swiggy@sbi) on 16-07-25. Ref 401229511955.,Swiggy,396.81
VK-PNBUPI-S,Punjab National Bank,PNB Alert: INR426.23 sent via UPI from Punjab National Bank A/c xxxx2890 to Lavanya K (lavanyak@oksbi) on 04-Jul-2025. Ref 041172030825.,Lavanya K,426.23
JD-IDFCFB-I,IDFC FIRST Bank,IDFC Alert: ₹817.40 received via UPI to IDFC FIRST Bank A/c xxxx9685 from VI Prepaid (viprepaid@okhdfcbank) on 04-08-25. Ref 222624578145.,VI Prepaid,817.4
TM-SBIINB-S,State Bank of India,"SBI Alert: INR2,2,036.45 sent via UPI from State Bank of India A/c XX1521 to Lavanya K (lavanyak@okhdfcbank) on 17/06/2025. Ref 120856093550.",Lavanya K,22036.45
TM-SBIINB-S,State Bank of India,"SBI Alert: INR1,7,810.86 received via UPI to State Bank of India A/c xxxx2742 from VI Prepaid (viprepaid@okhdfcbank) on 28/06/2025. Ref 125029378975.",VI Prepaid,17810.86
BZ-BOBMSG-S,Bank of Baroda,"BOB Alert: INR1,494.04 sent via UPI from Bank of Baroda A/c xxxx3405 to Pooja Patel (poojapatel@oksbi) on 31-Jul-2025. Ref 526571838630.",Pooja Patel,1494.04
VM-ICICIB-I,ICICI Bank,"ICICI Alert: Rs.1,2,455.13 received via UPI to ICICI Bank A/c **6613 from Croma (croma@axl) on 11-06-25. Ref 546597749374.",Croma,12455.13
AD-AXISBK,Axis Bank,AXIS Alert: INR195.04 sent via UPI from Axis Bank A/c xxxx7995 to Amit Sharma (amitsharma@okaxis) on 16-06-25. Ref 589169508027.,Amit Sharma,195.04
VK-SBIINB-I,State Bank of India,SBI Alert: INR456.60 sent via UPI from State Bank of India A/c **2590 to IRCTC (irctc@ibl) on 12-06-25. Ref 805828414946.,IRCTC,456.6
VK-ICICIB-S,ICICI Bank,ICICI Alert: INR422.86 sent via UPI from ICICI Bank A/c XX1890 to Sanjay Singh (sanjaysing@ibl) on 20-07-25. Ref 124982037245.,Sanjay Singh,422.86
AD-BOBMSG-S,Bank of Baroda,"BOB Alert: Rs.1,7,807.38 received via UPI to Bank of Baroda A/c xxxx6384 from Big Bazaar (bigbazaar@sbi) on 09-Aug-2025. Ref 531565584040.",Big Bazaar,17807.38
VM-INDUSB,IndusInd Bank,"INDUSIND Alert: ₹4,1,252.34 sent via UPI from IndusInd Bank A/c xxxx7675 to Priya Verma (priyaverma@ibl) on 01-06-25. Ref 781557681357.",Priya Verma,41252.34
MD-PNBSMS-S,Punjab National Bank,"PNB Alert: ₹4,6,425.92 received via UPI to Punjab National Bank A/c **5063 from IRCTC (irctc@ibl) on 14-08-25. Ref 258091814882.",IRCTC,46425.92
MD-PNBSMS,Punjab National Bank,"PNB Alert: ₹1,6,797.34 received via UPI to Punjab National Bank A/c xxxx1539 from Meena S (meenas@upi) on 13-08-25. Ref 536441493830.",Meena S,16797.34
VM-INDUSB,IndusInd Bank,INDUSIND Alert: Rs.158.28 sent via UPI from IndusInd Bank A/c **3906 to JioMart (jiomart@okaxis) on 24/07/2025. Ref 083846674847.,JioMart,158.28
AD-PNBSMS-S,Punjab National Bank,"PNB Alert: ₹3,4,954.22 sent via UPI from Punjab National Bank A/c XX9625 to Sanjay Singh (sanjaysing@idfcbank) on 19/06/2025. Ref 962888311254.",Sanjay Singh,34954.22
TM-SBIINB-I,State Bank of India,"SBI Alert: ₹4,758.38 sent via UPI from State Bank of India A/c **2338 to Uber (uber@idfcbank) on 30/07/2025. Ref 547933485309.",Uber,4758.38
VK-SBIINB,State Bank of India,"SBI Alert: INR2,0,550.52 sent via UPI from State Bank of India A/c XX5725 to Sanjay Singh (sanjaysing@okhdfcbank) on 09-08-25. Ref 622176528985.",Sanjay Singh,20550.52
JD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: Rs.3,2,592.72 received via UPI to IDFC FIRST Bank A/c XX9044 from DMart (dmart@okhdfcbank) on 12-Aug-2025. Ref 994641161675.",DMart,32592.72
AD-KOTAKB-S,Kotak Mahindra Bank,KOTAK Alert: INR191.18 sent via UPI from Kotak Mahindra Bank A/c **6811 to Neha Malhotra (nehamalhot@oksbi) on 02/07/2025. Ref 831970081114.,Neha Malhotra,191.18
AD-YESBNK,YES Bank,YES Alert: ₹323.70 sent via UPI from YES Bank A/c XX3492 to Airtel Prepaid (airtelprep@ibl) on 29-06-25. Ref 977854080452.,Airtel Prepaid,323.7
AD-BOBMSG-S,Bank of Baroda,"BOB Alert: INR2,246.28 received via UPI to Bank of Baroda A/c xxxx4253 from Manoj P (manojp@ibl) on 09-Aug-2025. Ref 817061181289.",Manoj P,2246.28
BP-KOTAKUPI-I,Kotak Mahindra Bank,KOTAK Alert: Rs.373.32 received via UPI to Kotak Mahindra Bank A/c xxxx6159 from BPCL (bpcl@ibl) on 08-07-25. Ref 582405976474.,BPCL,373.32
AD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: Rs.1,9,695.49 sent via UPI from IDFC FIRST Bank A/c xxxx9095 to Manoj P (manojp@okhdfcbank) on 11/08/2025. Ref 506192145753.",Manoj P,19695.49
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: Rs.4,830.96 received via UPI to Punjab National Bank A/c xxxx5852 from Zomato (zomato@okhdfcbank) on 03-Aug-2025. Ref 837369771995.",Zomato,4830.96
VK-SBIINB,State Bank of India,"SBI Alert: ₹2,355.11 received via UPI to State Bank of India A/c **2020 from Karthik M (karthikm@upi) on 22/07/2025. Ref 138448283585.",Karthik M,2355.11
VK-AXISUPI-S,Axis Bank,AXIS Alert: ₹356.93 received via UPI to Axis Bank A/c xxxx7219 from Uber (uber@axl) on 25/07/2025. Ref 258705806179.,Uber,356.93
AD-SBIUPI-S,State Bank of India,"SBI Alert: Rs.2,2,085.23 received via UPI to State Bank of India A/c xxxx2153 from Suresh R (sureshr@ibl) on 08-08-25. Ref 660168191830.",Suresh R,22085.23
